date,event_name,venue,gender,match_type,winner,won_by_runs,won_by_wickets,player_of_match,toss_winner,toss_decision,batting_first_team,batting_first_runs,batting_first_wickets,batting_first_overs,batting_second_team,batting_second_runs,batting_second_wickets,batting_second_overs,target_runs,target_overs,file_name
2/5/2009,India in Sri Lanka ODI Series,R Premadasa Stadium,male,ODI,India,67,,G Gambhir,India,bat,India,332,5,50,Sri Lanka,265,10,48,333,50,386533.json
2/6/2009,Chappell-Hadlee Trophy,Melbourne Cricket Ground,male,ODI,New Zealand,,6,MJ Clarke,New Zealand,field,Australia,225,5,50,New Zealand,226,4,48.5,226,50,351690.json
2/8/2009,Chappell-Hadlee Trophy,Sydney Cricket Ground,male,ODI,Australia,32,,BJ Haddin,New Zealand,field,Australia,301,9,50,New Zealand,269,10,47.3,302,50,351691.json
2/8/2009,India in Sri Lanka ODI Series,R Premadasa Stadium,male,ODI,Sri Lanka,68,,KC Sangakkara,Sri Lanka,bat,Sri Lanka,320,8,50,India,252,10,48.5,321,50,386534.json
2/10/2009,Chappell-Hadlee Trophy,Adelaide Oval,male,ODI,Australia,,6,DJ Hussey,New Zealand,bat,New Zealand,244,8,50,Australia,247,4,48.2,245,50,351692.json
2/13/2009,Chappell-Hadlee Trophy,Brisbane Cricket Ground,male,ODI,,,,,New Zealand,field,Australia,168,4,22,New Zealand,123,6,14,156,20,351693.json
3/3/2009,India in New Zealand ODI Series,McLean Park,male,ODI,India,53,,MS Dhoni,India,bat,India,273,4,38,New Zealand,162,9,28,216,28,366623.json
3/6/2009,India in New Zealand ODI Series,Westpac Stadium,male,ODI,,,,,India,bat,India,188,4,28.4,,,,,,,366626.json
3/8/2009,India in New Zealand ODI Series,AMI Stadium,male,ODI,India,58,,SR Tendulkar,New Zealand,field,India,392,5,50,New Zealand,334,10,45.1,393,50,366627.json
3/10/2009,ICC Women's World Cup,North Sydney Oval,female,ODI,England,,9,CMG Atkins,England,field,India,169,10,48.4,England,172,1,38.4,170,50,357962.json
3/11/2009,India in New Zealand ODI Series,Seddon Park,male,ODI,India,84,,V Sehwag,New Zealand,bat,New Zealand,270,5,47,India,201,0,23.3,118,23.3,366624.json
3/14/2009,India in New Zealand ODI Series,Eden Park,male,ODI,New Zealand,,8,JD Ryder,India,bat,India,149,10,36.3,New Zealand,151,2,23.2,150,43,366625.json
3/20/2009,England in West Indies ODI Series,Providence Stadium,male,ODI,England,1,,PD Collingwood,England,bat,England,270,7,50,West Indies,244,7,46.2,246,46.2,352665.json
3/22/2009,England in West Indies ODI Series,Providence Stadium,male,ODI,West Indies,21,,S Chanderpaul,West Indies,bat,West Indies,264,8,50,England,243,10,48.2,265,50,352666.json
3/27/2009,England in West Indies ODI Series,Kensington Oval,male,ODI,West Indies,,8,DJ Bravo,West Indies,field,England,117,10,41.3,West Indies,117,2,14.5,117,44,352667.json
3/29/2009,England in West Indies ODI Series,Kensington Oval,male,ODI,England,,9,AJ Strauss,England,field,West Indies,239,9,50,England,136,1,18.3,135,20,352668.json
4/1/2009,ICC World Cup Qualifiers,Willowmoore Park,male,ODI,Ireland,,7,WTS Porterfield,Ireland,field,Scotland,232,7,50,Ireland,233,3,37.4,233,50,390204.json
4/3/2009,Australia in South Africa ODI Series,Kingsmead,male,ODI,Australia,141,,MEK Hussey,Australia,bat,Australia,286,7,50,South Africa,145,10,33.1,287,50,350477.json
4/3/2009,England in West Indies ODI Series,Beausejour Stadium,male,ODI,England,26,,A Flintoff,West Indies,field,England,172,5,29,West Indies,146,10,28,173,29,352669.json
4/5/2009,Australia in South Africa ODI Series,SuperSport Park,male,ODI,South Africa,,7,WD Parnell,Australia,bat,Australia,131,10,40.2,South Africa,132,3,26.2,132,50,350478.json
4/8/2009,ICC World Cup Qualifiers,Willowmoore Park,male,ODI,Canada,148,,A Bagai,Scotland,field,Canada,252,7,50,Scotland,104,10,30.5,253,50,390227.json
4/9/2009,Australia in South Africa ODI Series,Newlands,male,ODI,South Africa,25,,JH Kallis,South Africa,bat,South Africa,289,6,50,Australia,264,7,50,290,50,350479.json
4/13/2009,Australia in South Africa ODI Series,St George's Park,male,ODI,South Africa,61,,HH Gibbs,Australia,field,South Africa,317,6,50,Australia,256,10,45.5,318,50,350480.json
4/17/2009,Australia in South Africa ODI Series,New Wanderers Stadium,male,ODI,Australia,47,,NM Hauritz,South Africa,field,Australia,303,7,50,South Africa,256,10,45.5,304,50,350481.json
4/22/2009,Australia v Pakistan ODI Series,Dubai Sports City Cricket Stadium,male,ODI,Pakistan,,4,Shahid Afridi,Australia,bat,Australia,168,10,38.5,Pakistan,171,6,44.1,169,50,392616.json
4/24/2009,Australia v Pakistan ODI Series,Dubai Sports City Cricket Stadium,male,ODI,Australia,,6,A Symonds,Pakistan,bat,Pakistan,207,10,46.2,Australia,208,4,45.1,208,50,392617.json
4/27/2009,Australia v Pakistan ODI Series,Sheikh Zayed Stadium,male,ODI,Australia,27,,MJ Clarke,Australia,bat,Australia,198,7,50,Pakistan,171,10,47.1,199,50,392618.json
5/1/2009,Australia v Pakistan ODI Series,Sheikh Zayed Stadium,male,ODI,Australia,,8,DE Bollinger,Pakistan,bat,Pakistan,197,10,48.3,Australia,200,2,44.2,198,50,392619.json
5/3/2009,Australia v Pakistan ODI Series,Sheikh Zayed Stadium,male,ODI,Pakistan,,7,Kamran Akmal,Australia,bat,Australia,250,4,50,Pakistan,254,3,47,251,50,392620.json
5/24/2009,NatWest Series,County Ground,male,ODI,England,,6,PD Collingwood,England,field,West Indies,160,10,38.3,England,161,4,36,161,50,380715.json
5/26/2009,NatWest Series,Edgbaston,male,ODI,England,58,,MJ Prior,West Indies,field,England,328,7,50,West Indies,270,10,49.4,329,50,380716.json
6/26/2009,India in West Indies ODI Series,Sabina Park,male,ODI,India,20,,Yuvraj Singh,India,bat,India,339,6,50,West Indies,319,10,48.1,340,50,377313.json
6/28/2009,India in West Indies ODI Series,Sabina Park,male,ODI,West Indies,,8,R Rampaul,India,bat,India,188,10,48.2,West Indies,192,2,34.1,189,50,377314.json
6/29/2009,Australia Women in England ODI Series,County Ground,female,ODI,England,,9,SJ Taylor,Australia,bat,Australia,133,10,49.4,England,134,1,27,134,50,383283.json
7/3/2009,India in West Indies ODI Series,Beausejour Stadium,male,ODI,India,,6,MS Dhoni,India,field,West Indies,186,7,27,India,159,4,21.5,159,22,377315.json
7/5/2009,India in West Indies ODI Series,Beausejour Stadium,male,ODI,,,,,India,field,West Indies,27,1,7.3,,,,,,,377316.json
7/26/2009,Bangladesh in West Indies ODI Series,Windsor Park,male,ODI,Bangladesh,52,,Abdur Razzak,West Indies,field,Bangladesh,246,9,50,West Indies,194,10,43.4,247,50,401073.json
7/28/2009,Bangladesh in West Indies ODI Series,Windsor Park,male,ODI,Bangladesh,,3,Shakib Al Hasan,West Indies,bat,West Indies,274,6,50,Bangladesh,276,7,49,275,50,401074.json
